,0,1,2,3,4,5,6,7
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.51483184079602,0.0,0.23117533718689792,25.46920202304018,9.608476304739051,1.1772363041700737,1.5397091175751656,0.933177777777778
2,38.0712656716418,0.0,28.137341040462427,10.332641191345884,32.747990401919616,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,27.29097313432836,0.0,7.100385356454721,78.54830008429334,56.39131973605279,0.1635050422458436,0.0,41.2597888888889
5,9.407387064676618,0.0,0.16512524084778424,22.95767912334925,8.762786442711459,4.708945216680295,7.65455389880225,2.5329111111111113
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,28.317667661691544,0.0,11.789942196531792,87.76845462208486,52.27083083383324,16.5140092668302,20.529454901002204,8.665222222222223
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,22.384328358208954,0.0,2.328265895953757,60.529387468389984,101.03294841031793,0.0,0.0,22.06298888888889
19,68.2393711442786,0.0,45.0791907514451,85.93116605788141,63.66065386922617,60.856576723902975,106.72383769249575,67.6553888888889
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,19.24455323383085,0.0,5.1353949903660885,199.489084012363,107.47458608278343,0.0,3.739293571253973,0.0
26,25.667363184079605,0.0,15.78597302504817,9.6415509974712,11.893638272345532,5.788078495502863,7.273292593497924,2.599566666666667
27,21.1785592039801,0.0,3.599730250481696,44.49946614217476,22.437771445710858,9.810302534750614,10.206071865069667,42.45958888888889
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,48.86349651741294,0.0,17.05743737957611,18.474020792357404,52.82862627474505,0.0,12.259017355169888,6.665555555555556
31,47.18019502487563,0.0,18.394951830443166,43.13414161281259,27.295989802039593,26.61862087762334,42.86256905402103,21.596400000000003
